Incident.day	Incident.month	Incident.year	Latitude	Longitude	Shark.common.name	Shark.scientific.name	Provoked.unprovoked	Victim.activity	Injury.location	Injury.description	Injury.severity\xca	Victim.gender	Victim.age	Time.of.incident
23	2	1887	-33.8	151.2833333	whaler shark	Carcharhinidae	unprovoked	unmotorised boating	other: uninjured			male		1700
4	12	1887	-33.81666667	151.0833333	bull shark	Carcharhinus leucas	unprovoked	swimming	"torso, leg, pelvic region"		major lacerations	male	25	1130
11	9	1888	-19.85	145.4	tiger shark	Galeocerdo cuvier	provoked	snorkelling				male		
9	12	1888	-33.85	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	male	11	
1	7	1889	-38.33333333	144.6166667	white shark	Carcharodon carcharias	unprovoked	swimming	other: body not recovered			male		
1	1	1890	-42.73333333	147.2333333	broadnose sevengill shark	Notorynchus cepedianus	unprovoked	swimming	thigh		major lacerations	male		
8	4	1891	-36.71666667	149.9833333	wobbegong	Orectolobidae	provoked	diving	other: uninjured			male		
17	6	1891	-38.33333333	144.3166667	wobbegong	Orectolobidae	provoked	snorkelling	arm		minor lacerations	male		
1	1	1892	-10.11666667	142.1333333	tiger shark	Galeocerdo cuvier	provoked	diving	torso		major lacerations	male		
22	3	1892	-23.36666667	150.5	bull shark	Carcharhinus leucas	unprovoked	swimming	calf		other: teeth marks	male		
6	11	1892	-27.45	153.2166667	whaler shark	Carcharhinidae	unprovoked	swimming	leg		other: teeth marks	female		
1	12	1892	-27.43333333	153.0833333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		abrasion	male		
7	1	1893	-28.76666667	114.6	wobbegong	Orectolobidae	provoked	fishing	other: uninjured			male		
25	1	1893	-13.93333333	143.7333333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	other: body not recovered			male		
14	4	1893	-9.816666667	142.7	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		minor lacerations	male		
28	11	1894	-32.91666667	151.7833333	white shark	Carcharodon carcharias	unprovoked	swimming	arm		major lacerations	male		0740
1	1	1895	-27.46666667	153	bull shark	Carcharhinus leucas	unprovoked	unmotorised boating	other: uninjured			male	25	
27	2	1895	-33.93333333	151.25	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	16	1600
15	3	1895	-24.9	152.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	foot		major lacerations	male	13	
1	6	1895	-20.78333333	115.5333333	tiger shark	Galeocerdo cuvier	provoked	diving	other: body not recovered			male		
16	11	1895	-35.13333333	150.75	whaler shark	Carcharhinidae	provoked	swimming	other: body not recovered			male		
15	12	1895	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	diving	other: uninjured			male		
8	12	1895	-33.85	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	male	14	
11	1	1896	-33.86666667	151.1833333	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	male	11	
1	11	1896	-33.85	121.8833333	white shark	Carcharodon carcharias	unprovoked	swimming	leg			male		
6	1	1897	-31.06666667	152.8333333	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		minor lacerations	male	12	
1	12	1897	-9.95	142.1833333	tiger shark	Galeocerdo cuvier	unprovoked	swimming	torso		major lacerations	male		
22	9	1898	-32.71666667	152.1166667	bull shark	Carcharhinus leucas	provoked	fishing	foot		minor lacerations	male		
20	12	1898	-27.46666667	153.2166667	whaler shark	Carcharhinidae	provoked	fishing	thigh		minor lacerations	male		
7	2	1899	-33.78333333	151.2166667	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		minor lacerations	male		
18	12	1899	-27.55	153.1833333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male		
28	1	1900	-33.85	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male		1200
1	1	1900	-11.6	130.95	tiger shark	Galeocerdo cuvier	unprovoked	swimming	arm		major lacerations	male		
15	9	1900	-19.25	146.8166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	calf		major lacerations	male		2100
10	11	1900	-10.55	142.3833333			provoked	snorkelling				male		
27	12	1900	-33.78333333	151.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	21	
1	1	1901	-11.6	130.95	tiger shark	Galeocerdo cuvier	unprovoked	swimming	leg		major lacerations	male		
22	1	1901	-27.46666667	153	bull shark	Carcharhinus leucas	unprovoked	swimming	thigh		major lacerations	male	13	
1	2	1901	-16.85	145.75	wobbegong	Orectolobidae	provoked	swimming	head		minor lacerations	male		
23	4	1901	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"torso, shoulder"		major lacerations	male		
25	4	1901	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	torso		major lacerations	male		
1	12	1901	-27.46666667	153	bull shark	Carcharhinus leucas	unprovoked	swimming	"torso, leg, pelvic region"		major lacerations	male		1335
19	1	1902	-27.48333333	153	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	16	1200
4	1	1902	-27.43333333	153.1666667	whaler shark	Carcharhinidae	provoked	swimming	torso		abrasion	male		
10	1	1903	-33.81666667	151.15	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	20	1700
1	2	1903	-36.63333333	150	bull shark	Carcharhinus leucas	provoked	fishing	other: uninjured			male		
15	3	1903	-27.7	153.2833333	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male		
6	5	1903	-34.66666667	150.85	whaler shark	Carcharhinidae	provoked	diving	other: uninjured			male		
27	3	1904	-27.41666667	153.1166667	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		minor lacerations	male		
30	3	1905	-28.8	153.2666667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		minor lacerations	male		
2	12	1905	-10.2	142.15	tiger shark	Galeocerdo cuvier	provoked	snorkelling	thigh		major lacerations	male		
28	1	1906	-33.98333333	151.0666667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	33	1410
14	4	1906	-14.66666667	145.45	tiger shark	Galeocerdo cuvier	unprovoked	swimming	arm		major lacerations	male		
24	8	1906	-9.95	142.1666667	tiger shark	Galeocerdo cuvier	provoked	snorkelling	"arm, shoulder, torso"		major lacerations	male		
17	12	1906	-35.7	150.1833333	wobbegong	Orectolobidae	unprovoked	motorised boating	other: uninjured			male		
3	2	1907	-19.25	146.8166667	bull shark	Carcharhinus leucas	unprovoked	swimming			major lacerations	male		
4	8	1907	-28.85	113.9	tiger shark	Galeocerdo cuvier	provoked	snorkelling	leg		major lacerations	male		
13	10	1907	-32.93333333	151.75	white shark	Carcharodon carcharias	unprovoked	swimming	"torso, shoulder"		major lacerations	male	26	1000
21	12	1907	-33.78333333	151.2333333	bull shark	Carcharhinus leucas	unprovoked	swimming	torso		major lacerations	male		
1	1	1909	-33.48333333	151.3	bull shark	Carcharhinus leucas	unprovoked	swimming				male		
26	1	1910	-32.9	151.7666667	bull shark	Carcharhinus leucas	unprovoked	swimming	leg		major lacerations	male	16	
17	2	1910	-33.31666667	115.6166667	white shark	Carcharodon carcharias	unprovoked	swimming	"shoulder, torso, leg"		major lacerations	male		
31	3	1910	-34.36666667	115.1166667			unprovoked	swimming	other: uninjured			male		
24	11	1910	-21.16666667	149.2333333			unprovoked	swimming	foot		minor lacerations	male		
6	2	1911	-20.38333333	116.8666667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	other: uninjured			male		
27	3	1911	-10.56666667	142.2166667	tiger shark	Galeocerdo cuvier	unprovoked	swimming	"torso, thigh"		major lacerations	male	16	
