Incident.year,Recovery.status,Provoked.unprovoked,Victim.activity
2007,uninjured,unprovoked,boarding
2007,injured,unprovoked,surfing
2007,injured,unprovoked,swimming
2007,injured,unprovoked,boarding
2008,uninjured,unprovoked,unmotorised boating
2008,injured,unprovoked,diving
2008,injured,unprovoked,swimming
2008,injured,unprovoked,swimming
2008,injured,unprovoked,other: standing in water
2008,fatal,unprovoked,boarding
2008,injured,provoked,swimming
2008,injured,unprovoked,swimming
2008,uninjured,unprovoked,boarding
2008,uninjured,unprovoked,boarding
2008,uninjured,unprovoked,boarding
2008,uninjured,unprovoked,boarding
2008,fatal,provoked,snorkelling
2008,uninjured,provoked,unmotorised boating
2009,injured,provoked,spearfishing
2009,injured,provoked,diving
2009,injured,unprovoked,boarding
2009,injured,unprovoked,boarding
2009,injured,unprovoked,swimming
2009,uninjured,unprovoked,boarding
2009,injured,unprovoked,diving
2009,uninjured,unprovoked,boarding
2009,injured,unprovoked,boarding
2009,uninjured,unprovoked,boarding
2009,injured,unprovoked,boarding
2009,uninjured,unprovoked,boarding
2009,injured,unprovoked,diving
2009,injured,unprovoked,boarding
2009,injured,provoked,swimming
2009,uninjured,unprovoked,boarding
2009,injured,unprovoked,boarding
2009,injured,unprovoked,boarding
2009,uninjured,provoked,spearfishing
2009,injured,unprovoked,boarding
2009,uninjured,unprovoked,unmotorised boating
2009,uninjured,unprovoked,boarding
2009,injured,provoked,spearfishing
2009,injured,provoked,spearfishing
2009,injured,provoked,other: standing in water
2009,injured,unprovoked,unmotorised boating
2009,injured,unprovoked,boarding
2009,uninjured,unprovoked,boarding
2010,uninjured,unprovoked,boarding
2010,injured,unprovoked,boarding
2010,injured,unprovoked,snorkelling
2010,uninjured,unprovoked,boarding
2010,injured,unprovoked,snorkelling
2010,injured,unprovoked,other: standing in water
2010,injured,unprovoked,boarding
2010,injured,unprovoked,boarding
2010,injured,unprovoked,boarding
2010,fatal,unprovoked,boarding
2010,injured,unprovoked,boarding
2010,injured,unprovoked,boarding
2010,injured,unprovoked,boarding
2010,injured,unprovoked,snorkelling
2011,fatal,provoked,diving
2011,injured,unprovoked,snorkelling
2011,injured,unprovoked,boarding
2011,injured,unprovoked,boarding
2011,injured,provoked,fishing
2011,injured,provoked,diving
2011,fatal,unprovoked,swimming
2011,fatal,unprovoked,boarding
2011,fatal,unprovoked,diving
2011,uninjured,provoked,diving
2011,fatal,unprovoked,swimming
2011,injured,provoked,swimming
2011,injured,unprovoked,boarding
2011,injured,provoked,boarding
2011,injured,unprovoked,boarding
2012,injured,unprovoked,boarding
2012,uninjured,provoked,spearfishing
2012,injured,unprovoked,boarding
2012,injured,unprovoked,snorkelling
2012,uninjured,unprovoked,boarding
2012,injured,provoked,fishing
2012,uninjured,unprovoked,boarding
2012,injured,provoked,boarding
2012,uninjured,unprovoked,unmotorised boating
2012,fatal,unprovoked,diving
2012,injured,unprovoked,unmotorised boating
2012,injured,provoked,diving
2012,uninjured,unprovoked,unmotorised boating
2012,injured,unprovoked,boarding
2012,injured,unprovoked,boarding
2012,uninjured,unprovoked,unmotorised boating
2012,injured,unprovoked,boarding
2012,fatal,unprovoked,boarding
2012,injured,unprovoked,boarding
2012,uninjured,unprovoked,boarding
2012,injured,unprovoked,boarding
2012,injured,provoked,spearfishing
2012,uninjured,unprovoked,boarding
2013,injured,provoked,spearfishing
2013,injured,unprovoked,boarding
2013,injured,provoked,spearfishing
2013,injured,provoked,swimming
2013,uninjured,unprovoked,boarding
2013,injured,provoked,swimming
2013,uninjured,unprovoked,boarding
2013,injured,unprovoked,swimming
2013,injured,provoked,boarding
2013,injured,unprovoked,snorkelling
2013,injured,provoked,diving
2013,fatal,unprovoked,boarding
2013,fatal,unprovoked,boarding
2013,injured,unprovoked,diving
2013,injured,unprovoked,boarding
2014,fatal,provoked,spearfishing
2014,uninjured,provoked,spearfishing
2014,uninjured,unprovoked,boarding
2014,injured,provoked,swimming
2014,fatal,unprovoked,swimming
2014,injured,provoked,spearfishing
2014,uninjured,unprovoked,boarding
2014,injured,unprovoked,swimming
2014,injured,unprovoked,boarding
2014,injured,provoked,boarding
2014,injured,unprovoked,boarding
2014,Injured,unprovoked,boarding
2014,injured,provoked,spearfishing
2014,fatal,unprovoked,snorkelling
2014,injured,unprovoked,swimming
2014,injured,provoked,boarding
2014,injured,provoked,boarding
2014,injured,unprovoked,boarding
2014,injured,provoked,swimming
2014,injured,provoked,snorkelling
2014,injured,unprovoked,swimming
2014,injured,unprovoked,boarding
2014,injured,unprovoked,boarding
2014,fatal,provoked,spearfishing
2014,fatal,provoked,spearfishing
2015,uninjured,unprovoked,boarding
2015,injured,provoked,other: standing in water
2015,uninjured,unprovoked,unmotorised boating
2015,uninjured,unprovoked,boarding
2015,injured,provoked,spearfishing
2015,injured,unprovoked,boarding
2015,fatal,unprovoked,boarding
2015,injured,unprovoked,swimming
2015,injured,provoked,swimming
2015,injured,provoked,swimming
2015,injured,provoked,boarding
2015,injured,unprovoked,boarding
2015,injured,unprovoked,boarding
2015,injured,unprovoked,boarding
2015,injured,provoked,swimming
2015,uninjured,unprovoked,boarding
2015,injured,provoked,spearfishing
2015,uninjured,unprovoked,boarding
2015,fatal,provoked,diving
2015,uninjured,provoked,diving
2015,injured,unprovoked,boarding
2015,uninjured,unprovoked,boarding
2015,injured,unprovoked,boarding
2015,injured,unprovoked,boarding
2015,injured,unprovoked,boarding
2015,injured,unprovoked,boarding
2015,uninjured,unprovoked,boarding
2015,injured,provoked,boarding
2015,injured,unprovoked,boarding
2015,injured,unprovoked,snorkelling
2015,injured,provoked,spearfishing
2015,injured,unprovoked,boarding
2015,injured,unprovoked,boarding
2016,injured,provoked,boarding
2016,injured,unprovoked,swimming
2016,injured,provoked,spearfishing
2016,uninjured,unprovoked,boarding
2016,injured,provoked,spearfishing
2016,uninjured,unprovoked,boarding
2016,uninjured,unprovoked,boarding
2016,injured,provoked,fishing
2016,uninjured,unprovoked,boarding
2016,injured,unprovoked,boarding
2016,injured,provoked,swimming
2016,fatal,unprovoked,boarding
2016,uninjured,provoked,spearfishing
2016,fatal,unprovoked,diving
2016,injured,provoked,spearfishing
2016,uninjured,unprovoked,boarding
2016,uninjured,provoked,spearfishing
2016,uninjured,provoked,spearfishing
2016,uninjured,unprovoked,boarding
2016,uninjured,unprovoked,boarding
2016,uninjured,unprovoked,boarding
2016,injured,unprovoked,boarding
2016,uninjured,unprovoked,boarding
2016,injured,unprovoked,boarding
2016,injured,unprovoked,boarding
2016,injured,unprovoked,boarding
2016,injured,provoked,swimming
2016,injured,unprovoked,boarding
2016,uninjured,provoked,spearfishing
2016,injured,unprovoked,snorkelling
2016,injured,unprovoked,snorkelling
2017,injured,unprovoked,snorkelling
2017,injured,provoked,swimming
2017,injured,unprovoked,swimming
2017,uninjured,provoked,spearfishing
2017,uninjured,unprovoked,boarding
2017,injured,unprovoked,snorkelling
2017,injured,unprovoked,snorkelling
2017,injured,unprovoked,boarding
2017,uninjured,unprovoked,unmotorised boating
2017,injured,provoked,boarding
2017,fatal,unprovoked,boarding
2017,uninjured,unprovoked,boarding
2017,uninjured,unprovoked,boarding
2017,injured,unprovoked,boarding
2017,injured,unprovoked,boarding
2017,uninjured,unprovoked,boarding
2017,injured,unprovoked,swimming
2017,uninjured,unprovoked,unmotorised boating
2017,injured,provoked,boarding
2017,injured,unprovoked,boarding
2017,uninjured,unprovoked,boarding
2018,injured,provoked,swimming
2018,injured,unprovoked,snorkelling
2018,injured,unprovoked,boarding
2018,injured,provoked,snorkelling
2018,uninjured,provoked,spearfishing
2018,injured,unprovoked,other: standing in water
2018,injured,unprovoked,swimming
2018,injured,provoked,snorkelling
2018,injured,unprovoked,swimming
2018,uninjured,provoked,snorkelling
2018,injured,unprovoked,boarding
2018,injured,unprovoked,boarding
2018,injured,unprovoked,boarding
2018,uninjured,unprovoked,boarding
2018,uninjured,unprovoked,boarding
2018,injured,unprovoked,boarding
2018,uninjured,unprovoked,boarding
2018,injured,unprovoked,swimming
2018,injured,unprovoked,swimming
2018,injured,unprovoked,
2018,injured,provoked,swimming
2018,fatal,unprovoked,boarding
2018,injured,unprovoked,boarding
2018,injured,unprovoked,boarding
2018,uninjured,unprovoked,
2018,injured,unprovoked,boarding
2018,injured,provoked,spearfishing
2018,injured,unprovoked,boarding
2018,injured,unprovoked,
2018,injured,provoked,swimming
2019,injured,unprovoked,swimming
2019,uninjured,provoked,spearfishing
2019,uninjured,unprovoked,boarding
2019,injured,provoked,
2019,injured,unprovoked,boarding
2019,injured,unprovoked,snorkelling
2019,injured,provoked,spearfishing
2019,injured,unprovoked,swimming
2019,uninjured,provoked,diving
2019,injured,unprovoked,
2019,injured,provoked,snorkelling
2019,injured,unprovoked,swimming
2019,injured,unprovoked,boarding
2019,injured,unprovoked,surfing
2019,injured,unprovoked,
2019,uninjured,provoked,spearfishing
2019,injured,,snorkelling
2019,injured,unprovoked,snorkelling
2019,uninjured,unprovoked,boarding
2019,uninjured,,boarding
2019,injured,unprovoked,snorkelling
2019,injured,,
2019,injured,unprovoked,boarding
2019,injured,,swimming
2020,fatal,unprovoked,diving
2020,uninjured,unprovoked,boarding
2020,uninjured,provoked,snorkelling
2020,injured,unprovoked,swimming
2020,injured,unprovoked,boarding
2020,injured,unprovoked,swimming
2020,injured,unprovoked,swimming
2020,fatal,unprovoked,swimming
2020,uninjured,unprovoked,boarding
2020,uninjured,unprovoked,boarding
2020,injured,unprovoked,boarding
2020,fatal,unprovoked,boarding
2020,injured,unprovoked,boarding
2020,uninjured,unprovoked,boarding
2020,uninjured,provoked,spearfishing
2020,uninjured,provoked,spearfishing
2020,uninjured,provoked,spearfishing
2020,injured,unprovoked,
2020,injured,unprovoked,swimming
2020,fatal,provoked,snorkelling
2020,injured,provoked,fishing
2020,uninjured,unprovoked,swimming
2020,fatal,unprovoked,boarding
2020,injured,unprovoked,boarding
2020,fatal,unprovoked,
2020,uninjured,provoked,boarding
2020,uninjured,unprovoked,standing
2020,injured,unprovoked,boarding
2020,injured,unprovoked,scuba diving
2020,uninjured,unprovoked,boarding
2020,injured,provoked,spearfishing
2020,fatal,unprovoked,boarding
2020,fatal,unprovoked,boarding
2020,uninjured,provoked,fishing
2020,injured,unprovoked,boarding
2020,injured,unprovoked,boarding
2020,injured,unprovoked,boarding
2021,injured,unprovoked,swimming
2021,injured,unprovoked,swimming
2021,injured,unprovoked,swimming
2021,injured,unprovoked,boarding
2021,uninjured,unprovoked,boarding
2021,uninjured,provoked,spearfishing
2021,injured,unprovoked,swimming
2021,injured,provoked,spearfishing
2021,uninjured,unprovoked,boarding
2021,injured,unprovoked,swimming
2021,injured,provoked,spearfishing
2021,fatal,unprovoked,boarding
2021,injured,unprovoked,snorkelling
2021,injured,provoked,spearfishing
2021,injured,unprovoked,boarding
2021,injured,provoked,motorised boating
2021,fatal,unprovoked,boarding
2021,injured,unprovoked,boarding
2021,injured,unprovoked,swimming
2021,injured,unprovoked,boarding
2021,fatal,unprovoked,swimming
2021,injured,unprovoked,
2021,injured,unprovoked,boarding
2021,injured,provoked,spearfishing
2022,injured,unprovoked,swimming
2022,injured,unprovoked,swimming
2022,injured,unprovoked,snorkelling
2022,fatal,unprovoked,swimming
2022,injured,unprovoked,other:floating
2022,injured,unprovoked,other:floating
2022,injured,unprovoked,scuba diving
2022,injured,unprovoked,wading
2022,uninjured,unprovoked,surfing
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
